Title, Samples absorbance
Comment, 
Date, 15/04/2025 10:33:50 
Operator, 
System Name, Undefined
Wavelength(nm),25cy BiVO4_1 1,Wavelength(nm),25cy BiVO4_2 1,Wavelength(nm),35cy BiVO4_1 1,Wavelength(nm),35cy BiVO4_2 1,Wavelength(nm),WO3_1 1,Wavelength(nm),WO3_2 1,Wavelength(nm),Fe2O3 control 1,Wavelength(nm),Fe2O3 UV-O 5mins 1,Wavelength(nm),Fe2O3 UV-O 5mins 2,
300,0.581097397619328,300,0.599247268265628,300,0.703749156240356,300,0.752530850121748,300,0.43810001108434,300,0.478343846106986,300,2.33559707408581,300,1.09284172589525,300,1.00632322256495,
301,0.568647180877094,301,0.584350895251258,301,0.69251763693753,301,0.738208262519161,301,0.426072686535114,301,0.463353271092503,301,2.37641665749004,301,1.06656471592792,301,0.989903166795025,
302,0.561591378040923,302,0.575332681741366,302,0.683052753044715,302,0.730339914525219,302,0.417846330913332,302,0.455027303863243,302,2.40004173030808,302,1.05636189972061,302,0.980682190009972,
303.000000000001,0.553317163886012,303.000000000001,0.568282189796007,303.000000000001,0.67565414345904,303.000000000001,0.722317327333322,303.000000000001,0.411424719232108,303.000000000001,0.446581443753072,303.000000000001,2.42316436327308,303.000000000001,1.0439625834018,303.000000000001,0.970019610270397,
304.000000000001,0.545610035246512,304.000000000001,0.559994460051057,304.000000000001,0.666700030762908,304.000000000001,0.714703464272083,304.000000000001,0.404211730408922,304.000000000001,0.437442874759917,304.000000000001,2.44439618982594,304.000000000001,1.03693372679863,304.000000000001,0.960073801520288,
305.000000000001,0.53852545810137,305.000000000001,0.552387792076041,305.000000000001,0.660915948546194,305.000000000001,0.709009117494731,305.000000000001,0.397573442734493,305.000000000001,0.429785250186722,305.000000000001,2.39528360166953,305.000000000001,1.03080567100296,305.000000000001,0.950993205672803,
306.000000000001,0.532158019889306,306.000000000001,0.545523490893156,306.000000000001,0.655561555531802,306.000000000001,0.703095809488185,306.000000000001,0.39145624870707,306.000000000001,0.422714133692966,306.000000000001,2.35848454222648,306.000000000001,1.02292466921628,306.000000000001,0.945212923242836,
307.000000000002,0.526492541173454,307.000000000002,0.539067325786126,307.000000000002,0.649147234657129,307.000000000002,0.696171696140809,307.000000000002,0.385694299514621,307.000000000002,0.415613752373137,307.000000000002,2.37558653154086,307.000000000002,1.01269138139559,307.000000000002,0.942164932933245,
308.000000000002,0.521366600126639,308.000000000002,0.532392166116898,308.000000000002,0.64369562135685,308.000000000002,0.690391444992438,308.000000000002,0.38021638583902,308.000000000002,0.408936601137812,308.000000000002,2.3911585799697,308.000000000002,1.00260516499043,308.000000000002,0.935989588241134,
309.000000000002,0.515719352241892,309.000000000002,0.527554325572064,309.000000000002,0.637756101085892,309.000000000002,0.684325038059101,309.000000000002,0.375103295658936,309.000000000002,0.401974122159521,309.000000000002,2.40537444732021,309.000000000002,0.999152552169992,309.000000000002,0.929323535814111,
