"R_10%.spc - RawData"
"Wavelength nm.","R%"
400.00,16.959
401.00, 
402.00,17.093
403.00, 
404.00,17.284
405.00, 
406.00,17.528
407.00, 
408.00,17.752
409.00, 
410.00,17.979
411.00, 
412.00,18.183
413.00, 
414.00,18.374
415.00, 
416.00,18.520
417.00, 
418.00,18.638
419.00, 
420.00,18.726
421.00, 
422.00,18.785
423.00, 
424.00,18.778
425.00, 
426.00,18.732
427.00, 
428.00,18.645
429.00, 
430.00,18.564
431.00, 
432.00,18.465
433.00, 
434.00,18.361
435.00, 
436.00,18.265
437.00, 
438.00,18.236
439.00, 
440.00,18.232
441.00, 
442.00,18.284
443.00, 
444.00,18.340
445.00, 
446.00,18.417
447.00, 
448.00,18.454
449.00, 
450.00,18.465
451.00, 
452.00,18.448
453.00, 
454.00,18.412
455.00, 
456.00,18.358
457.00, 
458.00,18.296
459.00, 
460.00,18.233
461.00, 
462.00,18.157
463.00, 
464.00,18.076
465.00, 
466.00,17.996
467.00, 
468.00,17.908
469.00, 
470.00,17.832
471.00, 
472.00,17.729
473.00, 
474.00,17.634
475.00, 
476.00,17.517
477.00, 
478.00,17.398
479.00, 
480.00,17.278
481.00, 
482.00,17.140
483.00, 
484.00,17.013
485.00, 
486.00,16.875
487.00, 
488.00,16.760
489.00, 
490.00,16.655
491.00, 
492.00,16.570
493.00, 
494.00,16.490
495.00, 
496.00,16.430
497.00, 
498.00,16.346
499.00, 
500.00,16.298
501.00, 
502.00,16.235
503.00, 
504.00,16.221
505.00, 
506.00,16.211
507.00, 
508.00,16.226
509.00, 
510.00,16.231
511.00, 
512.00,16.234
513.00, 
514.00,16.231
515.00, 
516.00,16.248
517.00, 
518.00,16.259
519.00, 
520.00,16.284
521.00, 
522.00,16.292
523.00, 
524.00,16.311
525.00, 
526.00,16.314
527.00, 
528.00,16.318
529.00, 
530.00,16.305
531.00, 
532.00,16.283
533.00, 
534.00,16.248
535.00, 
536.00,16.195
537.00, 
538.00,16.172
539.00, 
540.00,16.131
541.00, 
542.00,16.109
543.00, 
544.00,16.054
545.00, 
546.00,16.007
547.00, 
548.00,15.960
549.00, 
550.00,15.954
551.00, 
552.00,15.950
553.00, 
554.00,15.937
555.00, 
556.00,15.922
557.00, 
558.00,15.927
559.00, 
560.00,15.934
561.00, 
562.00,15.939
563.00, 
564.00,15.939
565.00, 
566.00,15.954
567.00, 
568.00,15.961
569.00, 
570.00,15.990
571.00, 
572.00,16.015
573.00, 
574.00,16.053
575.00, 
576.00,16.087
577.00, 
578.00,16.139
579.00, 
580.00,16.199
581.00, 
582.00,16.259
583.00, 
584.00,16.320
585.00, 
586.00,16.390
587.00, 
588.00,16.471
589.00, 
590.00,16.557
591.00, 
592.00,16.645
593.00, 
594.00,16.739
595.00, 
596.00,16.838
597.00, 
598.00,16.941
599.00, 
600.00,17.037
601.00, 
602.00,17.146
603.00, 
604.00,17.260
605.00, 
606.00,17.361
607.00, 
608.00,17.465
609.00, 
610.00,17.576
611.00, 
612.00,17.734
613.00, 
614.00,17.883
615.00, 
616.00,18.029
617.00, 
618.00,18.134
619.00, 
620.00,18.264
621.00, 
622.00,18.388
623.00, 
624.00,18.543
625.00, 
626.00,18.679
627.00, 
628.00,18.801
629.00, 
630.00,18.929
631.00, 
632.00,19.042
633.00, 
634.00,19.167
635.00, 
636.00,19.276
637.00, 
638.00,19.396
639.00, 
640.00,19.501
641.00, 
642.00,19.614
643.00, 
644.00,19.733
645.00, 
646.00,19.850
647.00, 
648.00,19.949
649.00, 
650.00,20.037
651.00, 
652.00,20.119
653.00, 
654.00,20.213
655.00, 
656.00,20.284
657.00, 
658.00,20.368
659.00, 
660.00,20.436
661.00, 
662.00,20.530
663.00, 
664.00,20.594
665.00, 
666.00,20.651
667.00, 
668.00,20.711
669.00, 
670.00,20.792
671.00, 
672.00,20.858
673.00, 
674.00,20.911
675.00, 
676.00,20.940
677.00, 
678.00,20.983
679.00, 
680.00,21.012
681.00, 
682.00,21.051
683.00, 
684.00,21.083
685.00, 
686.00,21.077
687.00, 
688.00,21.069
689.00, 
690.00,21.081
691.00, 
692.00,21.102
693.00, 
694.00,21.127
695.00, 
696.00,21.132
697.00, 
698.00,21.145
699.00, 
700.00,21.128
